TIME(SECONDS)		FISH1	FISH2	FISH3	FISH4	FISH5	FISH6	FISH7	FISH8	FISH9	FISH10	FISH11	FISH12	FISH13	FISH14	FISH15	FISH16	FISH17	FISH18	FISH19	FISH20	FISH21	FISH22	FISH23	FISH24	FISH25	FISH26	FISH27	FISH28	FISH29	FISH30	FISH31	FISH32	FISH33	FISH34	FISH35	FISH36	FISH37	FISH38	FISH39	FISH40	FISH41	FISH42	FISH43	FISH44	FISH45	FISH46	FISH47	FISH48	FISH49	FISH50	FISH51	FISH52	FISH53	FISH54	FISH55	FISH56	FISH57	FISH58	FISH59	FISH60	FISH61	FISH62	FISH63	FISH64	FISH65	FISH66	FISH67	FISH68	FISH69	FISH70	FISH71	FISH72	FISH73	FISH74	FISH75	FISH76	FISH77	FISH78	FISH79	FISH80	FISH81	FISH82	FISH83	FISH84	FISH85	FISH86	FISH87	FISH88	FISH89	FISH90	FISH91	FISH92	FISH93	FISH94	FISH95	FISH96			CLOCK
start	end	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur			
0	60	1.7	7	2.2	0.3	3.2	2.5	1.5	0.5	3.1	0.9	4.3	2.3	1.3	0.9	4.4	1.9	2.1	0.7	1.2	0.7	4.7	0.7	0.5	4.5	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7	0.1	0.2	0.1	0.1	0.1	11	0.2	0.2	0.1	4	0.1	0.1	0.2	0.1	9.8	0.2	0.2	1.2	0.1	0.1	0.1	0.1	0.1	0.5	4.3	0.2	4	0.1	0.1	0.1	1.4	9.4	8.7	1.7	0.6	8	0.2	3.4	0.2	9	7	0.1	0.1	0.1	9.6	3.6	8.2			11.646
60	120	0.9	3.5	4.1	0.2	7.7	0	1.5	0.4	1.4	0.5	1.7	2.2	2.5	1.2	1.1	5.9	0	0.7	1.9	1.4	1.8	1.8	1.4	5.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6	0	0	0	0	0	11.1	0	0	0	4.7	0	0	0	0	10.5	0	0	0.5	0	0	0	0	0	0	4.2	0	0	0.1	0	0	0	9.3	9.9	1.5	0	7.4	0	6.2	0	8.2	7.6	0	0	0	9.2	6.1	8.8			11.662
120	180	0	4.2	0	1.7	4.5	0	1.1	1.6	3.4	0.1	2.2	0.4	2.7	0.9	1.3	0.9	2.3	2.5	0	1.6	3.7	0.6	0.9	3.1	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	0	0	0	0	0	11.7	0	0	0	6.1	0	0.1	0	0	10.6	0	0	0.7	0	0	0	0	0	0.1	2.3	1.3	0	0	0	0	0.1	8.4	8.1	2.7	0.2	6.7	0.2	0.4	0	8.2	7.5	0	0	0.1	9.4	5.9	7.5			11.679
180	240	1	3	2.4	0.1	0.3	0.1	1.5	0.3	2.3	0.1	2.1	0.8	1.6	0.5	0	4.8	2.3	2.4	1.9	1.9	0.4	1.4	2.2	4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.7	0	0	0	0	0	12.9	0	0	0	6.6	0	0.1	0.1	0	4.5	0	0	0.1	0	0	0	0	0	0	4	0	0.5	0	0	0	0.2	8.7	8.6	2.3	0	4	0.2	0.3	0	7.7	6	0	0	0.4	8.1	4.7	8.8			11.696
240	300	1.6	0.3	1.2	0	6.4	0.1	1.2	0.1	0.4	0	0.5	1.1	0	0.7	3.4	4.2	1.6	3	0.5	4.7	3.6	1.1	1.6	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8	0	0	0	0	0	11.3	0	0.4	0	6.2	0	0	0.1	0	7.8	0.1	0	0.2	0	0	0	0	0.2	0	4.1	0	0.1	0	0	0	0.4	7.2	8.2	1.5	0	5.1	0	5.8	0	8.6	2.3	0	0	0.2	10.9	6.8	5.5			11.712
300	360	0.7	0	3.3	1.2	7.8	0.1	0.7	4.1	2.7	1.8	1.1	1.5	3.2	1.5	0.5	2.8	0.2	2.3	0.1	2.2	0.9	1.3	0	4.6	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1	0	0	0	0	0	11.5	0	0	0	6.5	0	1.2	0.2	0	8.4	0	0	0.4	0	0	0	0	1.9	0.2	4.1	0.8	0.2	0	0	0.2	0	8.8	8.6	0.7	0.7	0	0.2	4.3	0	9	0	0	0	0.3	9.4	6.7	8			11.729
360	420	0.1	3.2	0.9	2.3	1.1	0.8	0.8	0	1.7	0.3	1.2	1.1	0.9	0.7	1.8	1.9	1.1	1.8	0.2	2.3	4.4	1.1	1.7	3.5	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	0	0	0	0	0	10.3	0	0	0	8.4	0	0.1	0.1	0.1	5.1	0	0	0.1	0	0	0	0	0	0	4.3	0.4	0	0.1	0	0.1	0	8.3	7.4	1.7	3.6	0	0.2	5.9	0	5.6	0	0	0	0.4	9.2	6.3	7.4			11.746
420	480	0	0.6	0.3	0.5	0.7	0.2	0.1	1.6	0.9	0.6	1.1	1.7	2	1.2	3.6	1.6	2.9	4	0.5	3.2	1.1	1.9	2.9	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	10.1	0	0	0	5.9	0	0	0.3	0	9.9	0	0	0.6	0	0.3	0	0.2	0	0	3.2	0	0	0	0	0	0	2.9	7.6	0.5	3	0	0	5	0	2.1	0	0	0	0.1	7.7	5.4	7.1			11.762
480	540	0.3	0.7	4.3	0.9	5.2	0.2	0	0	0.7	0.3	3.1	0.5	1.1	2.6	2	4.8	0.6	0.3	1	3.3	0.3	1.7	1.6	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	11.8	0	0	0	6	0	3.6	0	4.8	7.1	0	0	0.6	0	4.1	0	0	0	0	3.1	0	0	0	0	0	0	0	8	1.2	2.2	0	0.1	7	0.1	1.4	0	0	0	0	9.3	6.1	7.4			11.779
540	600	0.7	0.4	3.8	0.6	6.8	1.6	0.6	4.3	2.4	0.1	2.1	0.4	4.3	2.7	2.1	3	1.9	3.6	0.8	3.3	1.5	0.3	0.6	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6	0	0	0	5	0	2.6	0.1	0.2	6.6	1.8	0	0.9	0	4.6	0	0	0	0	3.6	0	0	0	0	0	0	0	8	2.9	5.5	0	0.1	4.8	0	4.6	0	0	0	0	7.7	6	5.8			11.796
600	660	0.5	1.4	4.5	0.3	6.1	0	0	2.7	0.2	0.5	3.1	0.2	0.3	0.8	0.7	3.5	2.6	1.3	1.6	0.9	3.5	1.2	0.2	4.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1	0	0	0	4.7	0	6.1	1.1	0	0	7.5	0	0.1	0	2.8	0	0	0	0.2	0	0	0	0.3	0	0	0	0	7.5	2.3	2.3	0	0	4.9	0	3	0	0	0	0	6.8	4.4	7.7			11.812
660	720	0	1.8	0.6	0.6	8.1	0	0	4.3	0.9	0.4	1.1	1.3	4.8	0.4	4.1	0.6	4.5	1.7	2	1.4	4.1	3	0	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0	0	0	5.8	0	6.8	3.4	0	0	10.8	0	0.5	0	1.3	0	1.4	0	0.1	0	0	0	0.1	0	0.1	0	0	8.3	2.2	1.7	0	0	8.1	0	0	0	0	0	0	5.5	5.5	7.4			11.829
720	780	0.5	0.9	7.6	1.4	1.7	0.1	0	0.9	0.4	0.2	2	1.1	1.5	0.8	0.6	0.9	5.4	2.9	0.5	1.4	3.2	3.9	0.9	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7	0	0	0	5.6	0	2.8	9.3	0	0	9.7	0	0.4	0	1.7	0.1	0	0	0.1	0.3	0	0	0.1	0	0	0	0	8.4	2.6	3.2	0	0.1	4	0	0	0	0	0	0	7.3	5.5	7.2			11.846
780	840	0.3	1.9	5.3	0.1	1.2	0.4	0	1.2	1.2	0.1	2.8	0	1.4	0.8	1.8	0.5	7.5	0.1	0.7	4	0	2.8	0.1	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3	0	0	1.3	4.4	0	4	9.6	0	0	9.7	0	0.2	0.1	0.6	0	0.7	0	0.3	0.4	0.2	0	0.2	0	0	0.2	0	7	2	1.9	0	0	3	0	0	0	0	0	0	8.8	4.2	2.4			11.862
