"zth","scr_dmso","scr_dmso","scr_dmso","scr_dmso","scr_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","blank","blank","scr_dmso","scr_dmso","scr_dmso","scr_dmso","scr_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","blank","blank","scr_dmso","scr_dmso","scr_dmso","scr_dmso","scr_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","blank","blank","scr_dmso","scr_dmso","scr_dmso","scr_dmso","scr_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","ko_dmso","blank","blank","scr_pf67","scr_pf67","scr_pf67","scr_pf67","scr_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","blank","blank","scr_pf67","scr_pf67","scr_pf67","scr_pf67","scr_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","blank","blank","scr_pf67","scr_pf67","scr_pf67","scr_pf67","scr_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","blank","blank","scr_pf67","scr_pf67","scr_pf67","scr_pf67","scr_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","ko_pf67","blank","blank"
2.435,13696,12751,22247,8679,11356,189,1123,414,17856,21077,253,190,831,29457,28966,24119,15382,235,21785,15023,36717,320,262,208,15162,14652,13016,12432,14007,14767,1100,22067,14283,20148,282,211,17765,14569,16127,23058,25894,17171,30727,32525,478,12455,289,230,11514,18619,17554,13159,13480,364,15824,636,14596,16941,294,217,539,444,366,20666,331,18871,15133,30857,467,15332,304,237,26433,497,13899,350,15683,378,33458,14370,435,30837,288,232,16634,25335,18366,14217,11823,33262,26346,31022,363,349,247,231
2.60027777777778,13311,11499,22087,8737,25890,161,205,221,16465,20280,157,134,233,28949,27517,25611,15961,203,22212,15516,35518,228,173,137,15189,13800,12506,11971,14469,15372,374,20494,15045,19857,183,141,17009,13785,16390,22421,25044,16274,31825,32198,324,11542,195,148,11595,19089,16497,12824,12654,298,15103,385,15149,17348,197,149,210,216,237,19719,262,19954,15990,31955,323,15637,207,149,27507,251,13250,237,15810,332,30573,15050,305,30423,204,140,16141,23213,17034,13507,12413,30507,27937,30132,232,219,174,149
2.76555555555556,14665,12068,25015,8680,20445,133,153,186,17883,22512,130,105,201,32940,28324,27035,16934,175,23420,14352,37288,206,136,111,15713,14622,12070,12202,13830,16175,339,22215,16387,22896,156,122,17795,14317,17018,23041,26376,18198,30265,34511,294,12506,163,114,12571,19352,17538,14181,13082,301,14781,350,16234,16932,161,120,174,186,216,21333,252,20798,15335,31833,302,16488,176,131,28564,227,13780,217,16364,330,33459,14276,266,33334,171,118,15238,27324,17030,14755,13243,31518,28452,30123,203,180,151,115
2.93083333333333,15707,12842,27727,9389,16689,121,128,174,19883,21977,114,94,183,32803,30063,27905,15195,178,25957,16527,34835,191,123,96,16352,15941,13081,12928,14982,16919,340,22457,16503,23083,132,96,18159,13863,19053,26381,27380,18414,32720,40816,287,12481,147,105,13063,20382,18087,12884,13942,281,14516,332,16628,18723,155,102,168,171,197,21424,234,20957,16356,33283,282,17595,167,110,30433,212,15097,205,16873,314,34245,14323,249,36471,170,102,17604,27245,17682,14280,13851,30309,30377,31712,190,167,124,95
3.09583333333333,15310,12890,29881,10542,18105,113,122,173,19810,22421,103,84,174,32533,28551,28703,17868,169,25951,17023,38454,182,111,85,16057,16674,14161,12364,15085,17635,339,23030,15818,24558,123,91,20018,14329,20597,26830,30405,18978,33442,42884,291,13059,136,92,14876,20327,18763,14622,13677,278,16492,340,16550,19376,146,97,147,151,191,23224,242,21443,18171,37202,276,18069,155,99,30514,206,15361,212,17928,312,35816,14976,253,36164,163,97,17822,28019,18827,16119,14709,31907,30741,33141,178,161,119,95
3.26111111111111,16050,12950,28836,10876,17654,105,111,166,20964,23122,104,78,170,34582,31586,29682,18507,173,25840,17559,40417,183,104,84,16871,16624,13995,13038,14479,18451,322,22384,17253,23309,115,90,18717,16341,20366,27473,30100,19376,33460,44540,279,13149,125,87,14757,22881,18941,14692,16379,283,15908,329,18263,19539,133,87,140,158,198,26495,238,21496,18617,37026,273,19312,150,85,31899,195,15976,212,18816,337,36781,15412,260,39076,152,91,18278,27233,20072,17202,14202,37852,33827,34099,171,157,110,84
3.42638888888889,16089,13237,28277,10586,17819,106,108,157,19551,22924,90,77,165,34908,33947,29982,18213,171,27632,15877,38989,174,104,74,14737,17102,14416,13443,15964,19521,337,25242,17693,23416,119,78,20853,14634,19898,28510,30660,19317,33618,46055,284,13456,124,89,13941,20105,19986,14653,17749,270,16420,344,19744,21053,134,85,147,145,193,26916,236,21960,19842,37740,289,19697,144,89,31896,195,16456,213,19253,311,41614,15574,259,40187,154,81,18553,28266,20528,16359,16085,35875,34672,34716,172,148,109,79
3.59166666666667,16422,13991,30790,10910,17295,99,103,149,22253,23938,94,66,157,33891,34311,30444,17438,162,27909,16469,39294,174,98,70,17044,16953,15834,13966,15223,19801,333,24865,17942,24541,115,76,21370,15751,20064,29056,31047,20189,35380,46805,285,13640,121,79,13991,22295,21576,15482,15200,295,18971,351,19517,21593,133,79,136,144,178,28531,244,25184,19246,38804,278,20118,141,84,33328,198,16650,205,19342,335,38944,14866,250,43015,143,78,17240,30144,23846,15166,15660,35701,35583,36748,174,154,103,77
3.75722222222222,18085,13870,29568,10428,16216,103,97,151,23407,24418,89,61,163,33830,35692,30028,17481,169,27808,17808,38904,172,90,70,17454,17066,16325,13512,15829,20922,335,23923,19308,24509,106,72,23108,15331,20127,29639,31668,20416,34169,48834,288,15011,119,79,14083,24199,20579,16703,16058,281,20006,347,19301,21477,120,79,136,150,190,29114,247,22736,18006,41234,280,21078,140,78,34940,200,16952,199,19403,328,33736,17013,247,40481,149,77,20298,31389,21435,15497,15383,35606,34134,39583,163,145,99,73
3.9225,18660,14014,28303,11629,14680,95,97,155,24832,25412,90,67,159,35324,36105,31064,18043,168,29325,19629,43526,175,93,69,19306,17564,15542,14771,16226,21448,337,25548,18298,25937,113,67,21750,15790,20816,30433,32206,20781,37318,49985,282,14268,118,71,15321,25155,20690,17700,16120,281,18098,340,21089,22103,129,71,138,150,189,28097,248,24678,19676,41036,281,21722,144,73,34019,193,17818,197,19897,347,44552,17051,243,44235,145,73,19643,30767,20045,15345,16469,39206,34180,34675,165,142,98,71
