"zth","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","f65","f66","f67","f68","f69","f70","f71","f72","f73","f74","f75","f76","f77","f78","f79","f80","f81","f82","f83","f84","f85","f86","f87","f88","f89","f90","f91","f92","f93","f94","f95","f96"
2.435,2020-02-10 12:21:28,2020-02-10 12:24:29,2020-02-10 12:24:42,2020-02-10 12:27:44,2020-02-10 12:27:57,2020-02-10 12:30:59,2020-02-10 12:21:28,2020-02-10 12:24:29,2020-02-10 12:24:42,2020-02-10 12:27:44,2020-02-10 12:27:57,2020-02-10 12:30:59,2020-02-10 12:21:40,2020-02-10 12:24:17,2020-02-10 12:24:54,2020-02-10 12:27:32,2020-02-10 12:28:09,2020-02-10 12:30:46,2020-02-10 12:21:40,2020-02-10 12:24:17,2020-02-10 12:24:54,2020-02-10 12:27:32,2020-02-10 12:28:09,2020-02-10 12:30:46,2020-02-10 12:21:52,2020-02-10 12:24:05,2020-02-10 12:25:06,2020-02-10 12:27:20,2020-02-10 12:28:21,2020-02-10 12:30:34,2020-02-10 12:21:52,2020-02-10 12:24:05,2020-02-10 12:25:06,2020-02-10 12:27:20,2020-02-10 12:28:21,2020-02-10 12:30:34,2020-02-10 12:22:04,2020-02-10 12:23:53,2020-02-10 12:25:18,2020-02-10 12:27:07,2020-02-10 12:28:33,2020-02-10 12:30:22,2020-02-10 12:22:04,2020-02-10 12:23:53,2020-02-10 12:25:18,2020-02-10 12:27:07,2020-02-10 12:28:33,2020-02-10 12:30:22,2020-02-10 12:22:15,2020-02-10 12:23:41,2020-02-10 12:25:30,2020-02-10 12:26:55,2020-02-10 12:28:45,2020-02-10 12:30:10,2020-02-10 12:22:15,2020-02-10 12:23:41,2020-02-10 12:25:30,2020-02-10 12:26:55,2020-02-10 12:28:45,2020-02-10 12:30:10,2020-02-10 12:22:27,2020-02-10 12:23:29,2020-02-10 12:25:42,2020-02-10 12:26:43,2020-02-10 12:28:57,2020-02-10 12:29:58,2020-02-10 12:22:27,2020-02-10 12:23:29,2020-02-10 12:25:42,2020-02-10 12:26:43,2020-02-10 12:28:57,2020-02-10 12:29:58,2020-02-10 12:22:39,2020-02-10 12:23:16,2020-02-10 12:25:54,2020-02-10 12:26:31,2020-02-10 12:29:09,2020-02-10 12:29:45,2020-02-10 12:22:39,2020-02-10 12:23:16,2020-02-10 12:25:54,2020-02-10 12:26:31,2020-02-10 12:29:09,2020-02-10 12:29:45,2020-02-10 12:22:51,2020-02-10 12:23:04,2020-02-10 12:26:06,2020-02-10 12:26:19,2020-02-10 12:29:21,2020-02-10 12:29:33,2020-02-10 12:22:51,2020-02-10 12:23:04,2020-02-10 12:26:06,2020-02-10 12:26:19,2020-02-10 12:29:21,2020-02-10 12:29:33
2.60027777777778,2020-02-10 12:31:22,2020-02-10 12:34:24,2020-02-10 12:34:37,2020-02-10 12:37:39,2020-02-10 12:37:52,2020-02-10 12:40:54,2020-02-10 12:31:22,2020-02-10 12:34:24,2020-02-10 12:34:37,2020-02-10 12:37:39,2020-02-10 12:37:52,2020-02-10 12:40:54,2020-02-10 12:31:35,2020-02-10 12:34:12,2020-02-10 12:34:49,2020-02-10 12:37:27,2020-02-10 12:38:04,2020-02-10 12:40:41,2020-02-10 12:31:35,2020-02-10 12:34:12,2020-02-10 12:34:49,2020-02-10 12:37:27,2020-02-10 12:38:04,2020-02-10 12:40:41,2020-02-10 12:31:47,2020-02-10 12:34:00,2020-02-10 12:35:01,2020-02-10 12:37:15,2020-02-10 12:38:16,2020-02-10 12:40:29,2020-02-10 12:31:47,2020-02-10 12:34:00,2020-02-10 12:35:01,2020-02-10 12:37:15,2020-02-10 12:38:16,2020-02-10 12:40:29,2020-02-10 12:31:58,2020-02-10 12:33:48,2020-02-10 12:35:13,2020-02-10 12:37:02,2020-02-10 12:38:28,2020-02-10 12:40:17,2020-02-10 12:31:58,2020-02-10 12:33:48,2020-02-10 12:35:13,2020-02-10 12:37:02,2020-02-10 12:38:28,2020-02-10 12:40:17,2020-02-10 12:32:10,2020-02-10 12:33:36,2020-02-10 12:35:25,2020-02-10 12:36:50,2020-02-10 12:38:40,2020-02-10 12:40:05,2020-02-10 12:32:10,2020-02-10 12:33:36,2020-02-10 12:35:25,2020-02-10 12:36:50,2020-02-10 12:38:40,2020-02-10 12:40:05,2020-02-10 12:32:22,2020-02-10 12:33:23,2020-02-10 12:35:37,2020-02-10 12:36:38,2020-02-10 12:38:52,2020-02-10 12:39:53,2020-02-10 12:32:22,2020-02-10 12:33:23,2020-02-10 12:35:37,2020-02-10 12:36:38,2020-02-10 12:38:52,2020-02-10 12:39:53,2020-02-10 12:32:34,2020-02-10 12:33:11,2020-02-10 12:35:49,2020-02-10 12:36:26,2020-02-10 12:39:04,2020-02-10 12:39:40,2020-02-10 12:32:34,2020-02-10 12:33:11,2020-02-10 12:35:49,2020-02-10 12:36:26,2020-02-10 12:39:04,2020-02-10 12:39:40,2020-02-10 12:32:46,2020-02-10 12:32:59,2020-02-10 12:36:01,2020-02-10 12:36:14,2020-02-10 12:39:15,2020-02-10 12:39:28,2020-02-10 12:32:46,2020-02-10 12:32:59,2020-02-10 12:36:01,2020-02-10 12:36:14,2020-02-10 12:39:15,2020-02-10 12:39:28
2.76555555555556,2020-02-10 12:41:17,2020-02-10 12:44:19,2020-02-10 12:44:32,2020-02-10 12:47:34,2020-02-10 12:47:47,2020-02-10 12:50:48,2020-02-10 12:41:17,2020-02-10 12:44:19,2020-02-10 12:44:32,2020-02-10 12:47:34,2020-02-10 12:47:47,2020-02-10 12:50:48,2020-02-10 12:41:29,2020-02-10 12:44:07,2020-02-10 12:44:44,2020-02-10 12:47:22,2020-02-10 12:47:59,2020-02-10 12:50:36,2020-02-10 12:41:29,2020-02-10 12:44:07,2020-02-10 12:44:44,2020-02-10 12:47:22,2020-02-10 12:47:59,2020-02-10 12:50:36,2020-02-10 12:41:41,2020-02-10 12:43:55,2020-02-10 12:44:56,2020-02-10 12:47:09,2020-02-10 12:48:10,2020-02-10 12:50:24,2020-02-10 12:41:41,2020-02-10 12:43:55,2020-02-10 12:44:56,2020-02-10 12:47:09,2020-02-10 12:48:10,2020-02-10 12:50:24,2020-02-10 12:41:53,2020-02-10 12:43:43,2020-02-10 12:45:08,2020-02-10 12:46:57,2020-02-10 12:48:22,2020-02-10 12:50:12,2020-02-10 12:41:53,2020-02-10 12:43:43,2020-02-10 12:45:08,2020-02-10 12:46:57,2020-02-10 12:48:22,2020-02-10 12:50:12,2020-02-10 12:42:05,2020-02-10 12:43:30,2020-02-10 12:45:20,2020-02-10 12:46:45,2020-02-10 12:48:34,2020-02-10 12:50:00,2020-02-10 12:42:05,2020-02-10 12:43:30,2020-02-10 12:45:20,2020-02-10 12:46:45,2020-02-10 12:48:34,2020-02-10 12:50:00,2020-02-10 12:42:17,2020-02-10 12:43:18,2020-02-10 12:45:32,2020-02-10 12:46:33,2020-02-10 12:48:46,2020-02-10 12:49:47,2020-02-10 12:42:17,2020-02-10 12:43:18,2020-02-10 12:45:32,2020-02-10 12:46:33,2020-02-10 12:48:46,2020-02-10 12:49:47,2020-02-10 12:42:29,2020-02-10 12:43:06,2020-02-10 12:45:44,2020-02-10 12:46:21,2020-02-10 12:48:58,2020-02-10 12:49:35,2020-02-10 12:42:29,2020-02-10 12:43:06,2020-02-10 12:45:44,2020-02-10 12:46:21,2020-02-10 12:48:58,2020-02-10 12:49:35,2020-02-10 12:42:41,2020-02-10 12:42:54,2020-02-10 12:45:56,2020-02-10 12:46:08,2020-02-10 12:49:10,2020-02-10 12:49:23,2020-02-10 12:42:41,2020-02-10 12:42:54,2020-02-10 12:45:56,2020-02-10 12:46:08,2020-02-10 12:49:10,2020-02-10 12:49:23
2.93083333333333,2020-02-10 12:51:12,2020-02-10 12:54:14,2020-02-10 12:54:27,2020-02-10 12:57:29,2020-02-10 12:57:41,2020-02-10 13:00:43,2020-02-10 12:51:12,2020-02-10 12:54:14,2020-02-10 12:54:27,2020-02-10 12:57:29,2020-02-10 12:57:41,2020-02-10 13:00:43,2020-02-10 12:51:24,2020-02-10 12:54:02,2020-02-10 12:54:39,2020-02-10 12:57:16,2020-02-10 12:57:53,2020-02-10 13:00:31,2020-02-10 12:51:24,2020-02-10 12:54:02,2020-02-10 12:54:39,2020-02-10 12:57:16,2020-02-10 12:57:53,2020-02-10 13:00:31,2020-02-10 12:51:36,2020-02-10 12:53:50,2020-02-10 12:54:51,2020-02-10 12:57:04,2020-02-10 12:58:05,2020-02-10 13:00:19,2020-02-10 12:51:36,2020-02-10 12:53:50,2020-02-10 12:54:51,2020-02-10 12:57:04,2020-02-10 12:58:05,2020-02-10 13:00:19,2020-02-10 12:51:48,2020-02-10 12:53:38,2020-02-10 12:55:03,2020-02-10 12:56:52,2020-02-10 12:58:17,2020-02-10 13:00:07,2020-02-10 12:51:48,2020-02-10 12:53:38,2020-02-10 12:55:03,2020-02-10 12:56:52,2020-02-10 12:58:17,2020-02-10 13:00:07,2020-02-10 12:52:00,2020-02-10 12:53:25,2020-02-10 12:55:15,2020-02-10 12:56:40,2020-02-10 12:58:29,2020-02-10 12:59:54,2020-02-10 12:52:00,2020-02-10 12:53:25,2020-02-10 12:55:15,2020-02-10 12:56:40,2020-02-10 12:58:29,2020-02-10 12:59:54,2020-02-10 12:52:12,2020-02-10 12:53:13,2020-02-10 12:55:27,2020-02-10 12:56:28,2020-02-10 12:58:41,2020-02-10 12:59:42,2020-02-10 12:52:12,2020-02-10 12:53:13,2020-02-10 12:55:27,2020-02-10 12:56:28,2020-02-10 12:58:41,2020-02-10 12:59:42,2020-02-10 12:52:24,2020-02-10 12:53:01,2020-02-10 12:55:39,2020-02-10 12:56:16,2020-02-10 12:58:53,2020-02-10 12:59:30,2020-02-10 12:52:24,2020-02-10 12:53:01,2020-02-10 12:55:39,2020-02-10 12:56:16,2020-02-10 12:58:53,2020-02-10 12:59:30,2020-02-10 12:52:36,2020-02-10 12:52:49,2020-02-10 12:55:51,2020-02-10 12:56:03,2020-02-10 12:59:05,2020-02-10 12:59:18,2020-02-10 12:52:36,2020-02-10 12:52:49,2020-02-10 12:55:51,2020-02-10 12:56:03,2020-02-10 12:59:05,2020-02-10 12:59:18
3.09583333333333,2020-02-10 13:01:07,2020-02-10 13:04:09,2020-02-10 13:04:22,2020-02-10 13:07:23,2020-02-10 13:07:36,2020-02-10 13:10:38,2020-02-10 13:01:07,2020-02-10 13:04:09,2020-02-10 13:04:22,2020-02-10 13:07:23,2020-02-10 13:07:36,2020-02-10 13:10:38,2020-02-10 13:01:19,2020-02-10 13:03:57,2020-02-10 13:04:34,2020-02-10 13:07:11,2020-02-10 13:07:48,2020-02-10 13:10:26,2020-02-10 13:01:19,2020-02-10 13:03:57,2020-02-10 13:04:34,2020-02-10 13:07:11,2020-02-10 13:07:48,2020-02-10 13:10:26,2020-02-10 13:01:31,2020-02-10 13:03:45,2020-02-10 13:04:46,2020-02-10 13:06:59,2020-02-10 13:08:00,2020-02-10 13:10:14,2020-02-10 13:01:31,2020-02-10 13:03:45,2020-02-10 13:04:46,2020-02-10 13:06:59,2020-02-10 13:08:00,2020-02-10 13:10:14,2020-02-10 13:01:43,2020-02-10 13:03:32,2020-02-10 13:04:58,2020-02-10 13:06:47,2020-02-10 13:08:12,2020-02-10 13:10:01,2020-02-10 13:01:43,2020-02-10 13:03:32,2020-02-10 13:04:58,2020-02-10 13:06:47,2020-02-10 13:08:12,2020-02-10 13:10:01,2020-02-10 13:01:55,2020-02-10 13:03:20,2020-02-10 13:05:10,2020-02-10 13:06:35,2020-02-10 13:08:24,2020-02-10 13:09:49,2020-02-10 13:01:55,2020-02-10 13:03:20,2020-02-10 13:05:10,2020-02-10 13:06:35,2020-02-10 13:08:24,2020-02-10 13:09:49,2020-02-10 13:02:07,2020-02-10 13:03:08,2020-02-10 13:05:22,2020-02-10 13:06:23,2020-02-10 13:08:36,2020-02-10 13:09:37,2020-02-10 13:02:07,2020-02-10 13:03:08,2020-02-10 13:05:22,2020-02-10 13:06:23,2020-02-10 13:08:36,2020-02-10 13:09:37,2020-02-10 13:02:19,2020-02-10 13:02:56,2020-02-10 13:05:33,2020-02-10 13:06:10,2020-02-10 13:08:48,2020-02-10 13:09:25,2020-02-10 13:02:19,2020-02-10 13:02:56,2020-02-10 13:05:33,2020-02-10 13:06:10,2020-02-10 13:08:48,2020-02-10 13:09:25,2020-02-10 13:02:31,2020-02-10 13:02:44,2020-02-10 13:05:45,2020-02-10 13:05:58,2020-02-10 13:09:00,2020-02-10 13:09:13,2020-02-10 13:02:31,2020-02-10 13:02:44,2020-02-10 13:05:45,2020-02-10 13:05:58,2020-02-10 13:09:00,2020-02-10 13:09:13
3.26111111111111,2020-02-10 13:11:02,2020-02-10 13:14:04,2020-02-10 13:14:17,2020-02-10 13:17:18,2020-02-10 13:17:31,2020-02-10 13:20:33,2020-02-10 13:11:02,2020-02-10 13:14:04,2020-02-10 13:14:17,2020-02-10 13:17:18,2020-02-10 13:17:31,2020-02-10 13:20:33,2020-02-10 13:11:14,2020-02-10 13:13:52,2020-02-10 13:14:29,2020-02-10 13:17:06,2020-02-10 13:17:43,2020-02-10 13:20:21,2020-02-10 13:11:14,2020-02-10 13:13:52,2020-02-10 13:14:29,2020-02-10 13:17:06,2020-02-10 13:17:43,2020-02-10 13:20:21,2020-02-10 13:11:26,2020-02-10 13:13:40,2020-02-10 13:14:41,2020-02-10 13:16:54,2020-02-10 13:17:55,2020-02-10 13:20:09,2020-02-10 13:11:26,2020-02-10 13:13:40,2020-02-10 13:14:41,2020-02-10 13:16:54,2020-02-10 13:17:55,2020-02-10 13:20:09,2020-02-10 13:11:38,2020-02-10 13:13:27,2020-02-10 13:14:53,2020-02-10 13:16:42,2020-02-10 13:18:07,2020-02-10 13:19:56,2020-02-10 13:11:38,2020-02-10 13:13:27,2020-02-10 13:14:53,2020-02-10 13:16:42,2020-02-10 13:18:07,2020-02-10 13:19:56,2020-02-10 13:11:50,2020-02-10 13:13:15,2020-02-10 13:15:04,2020-02-10 13:16:30,2020-02-10 13:18:19,2020-02-10 13:19:44,2020-02-10 13:11:50,2020-02-10 13:13:15,2020-02-10 13:15:04,2020-02-10 13:16:30,2020-02-10 13:18:19,2020-02-10 13:19:44,2020-02-10 13:12:02,2020-02-10 13:13:03,2020-02-10 13:15:16,2020-02-10 13:16:18,2020-02-10 13:18:31,2020-02-10 13:19:32,2020-02-10 13:12:02,2020-02-10 13:13:03,2020-02-10 13:15:16,2020-02-10 13:16:18,2020-02-10 13:18:31,2020-02-10 13:19:32,2020-02-10 13:12:14,2020-02-10 13:12:51,2020-02-10 13:15:28,2020-02-10 13:16:05,2020-02-10 13:18:43,2020-02-10 13:19:20,2020-02-10 13:12:14,2020-02-10 13:12:51,2020-02-10 13:15:28,2020-02-10 13:16:05,2020-02-10 13:18:43,2020-02-10 13:19:20,2020-02-10 13:12:26,2020-02-10 13:12:39,2020-02-10 13:15:40,2020-02-10 13:15:53,2020-02-10 13:18:55,2020-02-10 13:19:08,2020-02-10 13:12:26,2020-02-10 13:12:39,2020-02-10 13:15:40,2020-02-10 13:15:53,2020-02-10 13:18:55,2020-02-10 13:19:08
3.42638888888889,2020-02-10 13:20:57,2020-02-10 13:23:59,2020-02-10 13:24:12,2020-02-10 13:27:13,2020-02-10 13:27:26,2020-02-10 13:30:28,2020-02-10 13:20:57,2020-02-10 13:23:59,2020-02-10 13:24:12,2020-02-10 13:27:13,2020-02-10 13:27:26,2020-02-10 13:30:28,2020-02-10 13:21:09,2020-02-10 13:23:47,2020-02-10 13:24:24,2020-02-10 13:27:01,2020-02-10 13:27:38,2020-02-10 13:30:16,2020-02-10 13:21:09,2020-02-10 13:23:47,2020-02-10 13:24:24,2020-02-10 13:27:01,2020-02-10 13:27:38,2020-02-10 13:30:16,2020-02-10 13:21:21,2020-02-10 13:23:34,2020-02-10 13:24:36,2020-02-10 13:26:49,2020-02-10 13:27:50,2020-02-10 13:30:04,2020-02-10 13:21:21,2020-02-10 13:23:34,2020-02-10 13:24:36,2020-02-10 13:26:49,2020-02-10 13:27:50,2020-02-10 13:30:04,2020-02-10 13:21:33,2020-02-10 13:23:22,2020-02-10 13:24:47,2020-02-10 13:26:37,2020-02-10 13:28:02,2020-02-10 13:29:51,2020-02-10 13:21:33,2020-02-10 13:23:22,2020-02-10 13:24:47,2020-02-10 13:26:37,2020-02-10 13:28:02,2020-02-10 13:29:51,2020-02-10 13:21:45,2020-02-10 13:23:10,2020-02-10 13:24:59,2020-02-10 13:26:25,2020-02-10 13:28:14,2020-02-10 13:29:39,2020-02-10 13:21:45,2020-02-10 13:23:10,2020-02-10 13:24:59,2020-02-10 13:26:25,2020-02-10 13:28:14,2020-02-10 13:29:39,2020-02-10 13:21:57,2020-02-10 13:22:58,2020-02-10 13:25:11,2020-02-10 13:26:12,2020-02-10 13:28:26,2020-02-10 13:29:27,2020-02-10 13:21:57,2020-02-10 13:22:58,2020-02-10 13:25:11,2020-02-10 13:26:12,2020-02-10 13:28:26,2020-02-10 13:29:27,2020-02-10 13:22:09,2020-02-10 13:22:46,2020-02-10 13:25:23,2020-02-10 13:26:00,2020-02-10 13:28:38,2020-02-10 13:29:15,2020-02-10 13:22:09,2020-02-10 13:22:46,2020-02-10 13:25:23,2020-02-10 13:26:00,2020-02-10 13:28:38,2020-02-10 13:29:15,2020-02-10 13:22:21,2020-02-10 13:22:34,2020-02-10 13:25:35,2020-02-10 13:25:48,2020-02-10 13:28:50,2020-02-10 13:29:03,2020-02-10 13:22:21,2020-02-10 13:22:34,2020-02-10 13:25:35,2020-02-10 13:25:48,2020-02-10 13:28:50,2020-02-10 13:29:03
3.59166666666667,2020-02-10 13:30:52,2020-02-10 13:33:54,2020-02-10 13:34:07,2020-02-10 13:37:08,2020-02-10 13:37:21,2020-02-10 13:40:23,2020-02-10 13:30:52,2020-02-10 13:33:54,2020-02-10 13:34:07,2020-02-10 13:37:08,2020-02-10 13:37:21,2020-02-10 13:40:23,2020-02-10 13:31:04,2020-02-10 13:33:42,2020-02-10 13:34:18,2020-02-10 13:36:56,2020-02-10 13:37:33,2020-02-10 13:40:11,2020-02-10 13:31:04,2020-02-10 13:33:42,2020-02-10 13:34:18,2020-02-10 13:36:56,2020-02-10 13:37:33,2020-02-10 13:40:11,2020-02-10 13:31:16,2020-02-10 13:33:29,2020-02-10 13:34:30,2020-02-10 13:36:44,2020-02-10 13:37:45,2020-02-10 13:39:59,2020-02-10 13:31:16,2020-02-10 13:33:29,2020-02-10 13:34:30,2020-02-10 13:36:44,2020-02-10 13:37:45,2020-02-10 13:39:59,2020-02-10 13:31:28,2020-02-10 13:33:17,2020-02-10 13:34:42,2020-02-10 13:36:32,2020-02-10 13:37:57,2020-02-10 13:39:46,2020-02-10 13:31:28,2020-02-10 13:33:17,2020-02-10 13:34:42,2020-02-10 13:36:32,2020-02-10 13:37:57,2020-02-10 13:39:46,2020-02-10 13:31:40,2020-02-10 13:33:05,2020-02-10 13:34:54,2020-02-10 13:36:20,2020-02-10 13:38:09,2020-02-10 13:39:34,2020-02-10 13:31:40,2020-02-10 13:33:05,2020-02-10 13:34:54,2020-02-10 13:36:20,2020-02-10 13:38:09,2020-02-10 13:39:34,2020-02-10 13:31:52,2020-02-10 13:32:53,2020-02-10 13:35:06,2020-02-10 13:36:07,2020-02-10 13:38:21,2020-02-10 13:39:22,2020-02-10 13:31:52,2020-02-10 13:32:53,2020-02-10 13:35:06,2020-02-10 13:36:07,2020-02-10 13:38:21,2020-02-10 13:39:22,2020-02-10 13:32:04,2020-02-10 13:32:41,2020-02-10 13:35:18,2020-02-10 13:35:55,2020-02-10 13:38:33,2020-02-10 13:39:10,2020-02-10 13:32:04,2020-02-10 13:32:41,2020-02-10 13:35:18,2020-02-10 13:35:55,2020-02-10 13:38:33,2020-02-10 13:39:10,2020-02-10 13:32:16,2020-02-10 13:32:28,2020-02-10 13:35:30,2020-02-10 13:35:43,2020-02-10 13:38:45,2020-02-10 13:38:58,2020-02-10 13:32:16,2020-02-10 13:32:28,2020-02-10 13:35:30,2020-02-10 13:35:43,2020-02-10 13:38:45,2020-02-10 13:38:58
3.75722222222222,2020-02-10 13:40:47,2020-02-10 13:43:49,2020-02-10 13:44:02,2020-02-10 13:47:04,2020-02-10 13:47:16,2020-02-10 13:50:18,2020-02-10 13:40:47,2020-02-10 13:43:49,2020-02-10 13:44:02,2020-02-10 13:47:04,2020-02-10 13:47:16,2020-02-10 13:50:18,2020-02-10 13:40:59,2020-02-10 13:43:37,2020-02-10 13:44:14,2020-02-10 13:46:52,2020-02-10 13:47:28,2020-02-10 13:50:06,2020-02-10 13:40:59,2020-02-10 13:43:37,2020-02-10 13:44:14,2020-02-10 13:46:52,2020-02-10 13:47:28,2020-02-10 13:50:06,2020-02-10 13:41:11,2020-02-10 13:43:25,2020-02-10 13:44:26,2020-02-10 13:46:39,2020-02-10 13:47:40,2020-02-10 13:49:54,2020-02-10 13:41:11,2020-02-10 13:43:25,2020-02-10 13:44:26,2020-02-10 13:46:39,2020-02-10 13:47:40,2020-02-10 13:49:54,2020-02-10 13:41:23,2020-02-10 13:43:13,2020-02-10 13:44:38,2020-02-10 13:46:27,2020-02-10 13:47:52,2020-02-10 13:49:42,2020-02-10 13:41:23,2020-02-10 13:43:13,2020-02-10 13:44:38,2020-02-10 13:46:27,2020-02-10 13:47:52,2020-02-10 13:49:42,2020-02-10 13:41:35,2020-02-10 13:43:00,2020-02-10 13:44:50,2020-02-10 13:46:15,2020-02-10 13:48:04,2020-02-10 13:49:30,2020-02-10 13:41:35,2020-02-10 13:43:00,2020-02-10 13:44:50,2020-02-10 13:46:15,2020-02-10 13:48:04,2020-02-10 13:49:30,2020-02-10 13:41:47,2020-02-10 13:42:48,2020-02-10 13:45:02,2020-02-10 13:46:03,2020-02-10 13:48:16,2020-02-10 13:49:17,2020-02-10 13:41:47,2020-02-10 13:42:48,2020-02-10 13:45:02,2020-02-10 13:46:03,2020-02-10 13:48:16,2020-02-10 13:49:17,2020-02-10 13:41:59,2020-02-10 13:42:36,2020-02-10 13:45:14,2020-02-10 13:45:51,2020-02-10 13:48:28,2020-02-10 13:49:05,2020-02-10 13:41:59,2020-02-10 13:42:36,2020-02-10 13:45:14,2020-02-10 13:45:51,2020-02-10 13:48:28,2020-02-10 13:49:05,2020-02-10 13:42:11,2020-02-10 13:42:24,2020-02-10 13:45:26,2020-02-10 13:45:38,2020-02-10 13:48:40,2020-02-10 13:48:53,2020-02-10 13:42:11,2020-02-10 13:42:24,2020-02-10 13:45:26,2020-02-10 13:45:38,2020-02-10 13:48:40,2020-02-10 13:48:53
3.9225,2020-02-10 13:50:43,2020-02-10 13:53:45,2020-02-10 13:53:57,2020-02-10 13:56:59,2020-02-10 13:57:12,2020-02-10 14:00:14,2020-02-10 13:50:43,2020-02-10 13:53:45,2020-02-10 13:53:57,2020-02-10 13:56:59,2020-02-10 13:57:12,2020-02-10 14:00:14,2020-02-10 13:50:55,2020-02-10 13:53:32,2020-02-10 13:54:09,2020-02-10 13:56:47,2020-02-10 13:57:24,2020-02-10 14:00:02,2020-02-10 13:50:55,2020-02-10 13:53:32,2020-02-10 13:54:09,2020-02-10 13:56:47,2020-02-10 13:57:24,2020-02-10 14:00:02,2020-02-10 13:51:07,2020-02-10 13:53:20,2020-02-10 13:54:21,2020-02-10 13:56:35,2020-02-10 13:57:36,2020-02-10 13:59:49,2020-02-10 13:51:07,2020-02-10 13:53:20,2020-02-10 13:54:21,2020-02-10 13:56:35,2020-02-10 13:57:36,2020-02-10 13:59:49,2020-02-10 13:51:19,2020-02-10 13:53:08,2020-02-10 13:54:33,2020-02-10 13:56:23,2020-02-10 13:57:48,2020-02-10 13:59:37,2020-02-10 13:51:19,2020-02-10 13:53:08,2020-02-10 13:54:33,2020-02-10 13:56:23,2020-02-10 13:57:48,2020-02-10 13:59:37,2020-02-10 13:51:31,2020-02-10 13:52:56,2020-02-10 13:54:45,2020-02-10 13:56:10,2020-02-10 13:58:00,2020-02-10 13:59:25,2020-02-10 13:51:31,2020-02-10 13:52:56,2020-02-10 13:54:45,2020-02-10 13:56:10,2020-02-10 13:58:00,2020-02-10 13:59:25,2020-02-10 13:51:43,2020-02-10 13:52:44,2020-02-10 13:54:57,2020-02-10 13:55:58,2020-02-10 13:58:12,2020-02-10 13:59:13,2020-02-10 13:51:43,2020-02-10 13:52:44,2020-02-10 13:54:57,2020-02-10 13:55:58,2020-02-10 13:58:12,2020-02-10 13:59:13,2020-02-10 13:51:55,2020-02-10 13:52:31,2020-02-10 13:55:09,2020-02-10 13:55:46,2020-02-10 13:58:24,2020-02-10 13:59:01,2020-02-10 13:51:55,2020-02-10 13:52:31,2020-02-10 13:55:09,2020-02-10 13:55:46,2020-02-10 13:58:24,2020-02-10 13:59:01,2020-02-10 13:52:07,2020-02-10 13:52:19,2020-02-10 13:55:21,2020-02-10 13:55:34,2020-02-10 13:58:36,2020-02-10 13:58:48,2020-02-10 13:52:07,2020-02-10 13:52:19,2020-02-10 13:55:21,2020-02-10 13:55:34,2020-02-10 13:58:36,2020-02-10 13:58:48
