Experiment ID,15301,,,,,,,,,,,,,,,,,
Experiment name,220719_csnk1db,,,,,,,,,,,,,,,,,
Job,eb189052-7e40-4056-adb2-1b65e8df6aad,,,,,,,,,,,,,,,,,
Submitted,2020-03-30T15:56:43.569333,Finished,2020-03-30T15:56:47.038949,,,,,,,,,,,,,,,
Method,FFT NLLS,,,,,,,,,,,,,,,,,
Params,no dtr 48.0-max p(18.0-32.0),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Summary statistics,,,,,,,,,,,,,,,,,,
Phase/Amplitude method,by fit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
scr_dmso,20,,25.76,0.86,,4.9,8.18,2.57,5.18,8.7,2.52,,2332,1085,,0.55,0.12,
ko_dmso,20,,27.07,0.98,,2.68,8.12,2.57,3.12,9.26,2.43,,2013,1831,,0.51,0.13,
scr_pf67,0,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,
ko_pf67,0,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,
,,,,,,,,,,,,,,,,,,
Individual Results,,,,,,,,,,,,,,,,,,
Phase/Amplitude method,by fit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data Ref,Data Label,Status,,Period,Period Err,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Err,Abs Phase To Zero,Abs Phase To Window,Abs Phase Err,,Amplitude,Amplitude Err,,GOF,ERR
1. [B2],scr_dmso,,,26.9,0.32,,1.53,6.7,0.95,1.71,7.51,1.07,,3233,284.9,,0.45,0.09
2. [C2],scr_dmso,,,25.73,0.4,,4.58,7.81,1.17,4.91,8.37,1.25,,1956,151.5,,0.42,0.07
3. [D2],scr_dmso,,,23.96,0.4,,12.31,12.23,1.43,12.29,12.21,1.43,,3259,350.3,,0.52,0.1
4. [E2],scr_dmso,,,26.07,0.44,,2.79,6.6,1.29,3.03,7.17,1.41,,1736,165.1,,0.44,0.09
5. [F2],scr_dmso,,,25.52,0.6,,4.1,6.96,1.83,4.36,7.4,1.94,,1623,226.6,,0.55,0.13
6. [G2],ko_dmso,IGNORED,,24.95,0.97,,6.27,8.1,3.03,6.52,8.42,3.15,,2.65,0.6701,,0.82,0.23
7. [H2],ko_dmso,IGNORED,,27.28,1.84,,2.61,8.38,4.76,2.97,9.53,5.42,,2.58,0.932072,,0.81,0.38
8. [I2],ko_dmso,,,27.71,0.48,,1.76,8.18,1.3,2.03,9.45,1.5,,8.91,0.877657,,0.59,0.1
9. [J2],ko_dmso,,,26.83,0.49,,3.9,8.96,1.32,4.36,10.02,1.48,,2587,243.7,,0.35,0.1
10. [K2],ko_dmso,,,27.43,0.41,,1.33,7.33,0.98,1.52,8.38,1.12,,3357,305.2,,0.37,0.09
11. [N2],scr_dmso,IGNORED,,25.39,0.55,,6.13,8.75,1.89,6.48,9.26,2,,11.31,1.251,,0.54,0.11
12. [O2],scr_dmso,,,26.83,0.26,,2.76,7.83,0.59,3.09,8.75,0.65,,4434,371,,0.44,0.08
13. [P2],scr_dmso,,,25.65,0.74,,6.48,9.57,2.5,6.93,10.23,2.68,,2349,523,,0.69,0.22
14. [Q2],scr_dmso,,,26.52,0.48,,3.42,7.98,1.14,3.78,8.82,1.26,,3827,389.7,,0.6,0.1
15. [R2],scr_dmso,,,25.97,0.21,,3.24,6.88,0.65,3.51,7.45,0.71,,1934,258,,0.57,0.12
16. [S2],ko_dmso,IGNORED,,26.81,0.18,,2.09,7.12,0.52,2.33,7.95,0.58,,8.87,1.184,,0.56,0.13
17. [T2],ko_dmso,,,28.68,0.89,,21.84,5.67,2.44,26.1,6.78,2.92,,2997,481,,0.61,0.16
18. [U2],ko_dmso,,,27.64,0.52,,1.64,7.96,1.38,1.89,9.17,1.58,,2408,310,,0.52,0.13
19. [V2],ko_dmso,,,28.86,0.43,,22.94,7.02,1.18,27.58,8.44,1.41,,5283,587,,0.54,0.11
20. [W2],ko_dmso,,,27.64,0.4,,1.46,7.78,1.1,1.68,8.96,1.27,,12.14,1.23,,0.45,0.1
21. [Z2],scr_dmso,,,25.8,0.35,,4.55,7.9,1,4.89,8.49,1.08,,2061,177.2,,0.47,0.09
22. [AA2],scr_dmso,,,24.78,0.12,,6.81,8.32,0.46,7.03,8.59,0.48,,1614,216.3,,0.6,0.12
23. [AB2],scr_dmso,,,25.8,0.22,,4.63,7.98,0.69,4.98,8.58,0.74,,1788,229.5,,0.53,0.12
