TIME(SECONDS)		FISH97	FISH98	FISH99	FISH100	FISH101	FISH102	FISH103	FISH104	FISH105	FISH106	FISH107	FISH108	FISH109	FISH110	FISH111	FISH112	FISH113	FISH114	FISH115	FISH116	FISH117	FISH118	FISH119	FISH120	FISH121	FISH122	FISH123	FISH124	FISH125	FISH126	FISH127	FISH128	FISH129	FISH130	FISH131	FISH132	FISH133	FISH134	FISH135	FISH136	FISH137	FISH138	FISH139	FISH140	FISH141	FISH142	FISH143	FISH144	FISH145	FISH146	FISH147	FISH148	FISH149	FISH150	FISH151	FISH152	FISH153	FISH154	FISH155	FISH156	FISH157	FISH158	FISH159	FISH160	FISH161	FISH162	FISH163	FISH164	FISH165	FISH166	FISH167	FISH168	FISH169	FISH170	FISH171	FISH172	FISH173	FISH174	FISH175	FISH176	FISH177	FISH178	FISH179	FISH180	FISH181	FISH182	FISH183	FISH184	FISH185	FISH186	FISH187	FISH188	FISH189	FISH190	FISH191	FISH192			CLOCK
start	end	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur	middur			
     0.0	    60.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     1.4	     2.4	     0.0	     0.0	     0.0	     0.0	     9.6	     0.1	     0.0	     0.0	     3.7	     5.5	     0.0	     0.6	     1.2	     0.0	     0.0	     0.5	     9.6	     0.5	     0.0	     2.5	     0.0	     0.2	     6.5	     1.3	     0.0	     5.3	     0.0	     2.4	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     2.1	     6.7	     0.0	     7.9	     0.0	     8.6	     1.0	     0.0	     0.4	     1.4	     0.0	     7.6	     0.2	     0.0	     1.9	     0.0	     0.0	     0.0	     1.3	     0.0	     0.0	     0.0	     2.7	     0.1	     4.9	     0.0	     0.0	     0.0	     0.9	     2.1	     0.0	     5.6	     0.0	     0.0	     1.5	     0.0	     1.9	     0.0	     0.0	     0.0	     0.0	     0.0	     1.2	     0.0	     1.4	     5.8	     0.0	     0.0	     5.0			           9.344
    60.0	   120.0	     0.0	     0.2	     0.1	     0.1	     0.3	     0.3	     0.1	     0.2	     0.3	     0.1	     4.1	     5.0	     0.0	     3.0	     0.1	     0.2	    10.2	     0.6	     0.6	     0.1	     5.6	     9.3	     0.5	     2.9	     3.4	     0.2	     0.1	     0.6	     9.4	     0.6	     0.1	     2.7	     0.3	     0.6	     7.9	     2.2	     0.1	     4.6	     0.1	     1.1	     0.1	     0.1	     0.2	     0.2	     0.5	     0.1	     0.4	     1.5	     6.0	     0.2	    11.0	     0.2	     9.0	     3.1	     0.3	     1.6	     1.6	     0.2	     9.1	     2.3	     0.0	     2.1	     0.5	     0.2	     0.5	     0.7	     0.3	     0.2	     0.7	     0.3	     1.4	     6.6	     0.0	     0.9	     0.1	     1.2	     1.1	     0.2	     9.2	     0.1	     0.3	     2.1	     0.4	     0.5	     0.0	     0.1	     0.1	     0.2	     0.6	     1.9	     0.4	     3.2	     8.1	     0.1	     0.3	     4.4			           9.361
   120.0	   180.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     1.8	     3.2	     0.0	     1.3	     0.0	     0.0	    11.9	     0.0	     0.5	     0.0	     4.4	     5.7	     0.0	     0.5	     2.0	     0.0	     0.0	     0.6	     2.0	     0.3	     0.0	     3.2	     0.0	     0.8	     7.9	     0.1	     0.0	     4.7	     0.0	     0.5	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     3.0	     0.0	     2.8	     0.0	     8.9	     0.0	     5.2	     0.5	     0.0	     0.1	     2.8	     0.0	     8.7	     3.6	     0.0	     1.6	     0.0	     0.1	     0.0	     0.0	     0.4	     0.0	     0.0	     0.0	     3.6	     2.6	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     9.6	     0.0	     0.0	     0.2	     0.0	     0.4	     0.0	     0.0	     0.0	     0.0	     0.0	     1.0	     0.0	     1.1	     7.6	     0.0	     0.0	     2.5			           9.378
   180.0	   240.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     2.6	     2.5	     0.0	     4.1	     0.0	     0.0	    10.3	     0.1	     0.0	     0.0	     5.5	     9.8	     0.0	     1.4	     2.0	     0.0	     0.0	     0.7	     0.0	     0.0	     0.0	     0.5	     0.0	     0.8	     8.1	     0.3	     0.1	     4.3	     0.0	     0.1	     0.0	     0.0	     0.1	     0.0	     0.0	     0.0	     6.7	     0.5	     2.2	     0.0	     9.6	     0.0	     0.0	     1.4	     0.0	     1.0	     5.4	     0.0	     9.3	     0.1	     0.0	     2.1	     0.0	     0.0	     0.0	     0.0	     9.5	     0.0	     0.1	     0.0	     3.0	     3.3	     0.0	     0.0	     0.0	     0.1	     0.0	     0.0	     3.9	     0.0	     0.0	     0.0	     0.0	     1.7	     0.0	     0.0	     0.1	     0.0	     0.0	     1.3	     0.0	     1.0	     6.2	     0.0	     0.0	     3.2			           9.394
   240.0	   300.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     3.3	     1.8	     0.0	     0.7	     0.0	     0.0	    10.4	     0.5	     0.0	     0.0	     4.3	     3.6	     0.0	     0.6	     2.6	     0.0	     0.4	     0.6	     0.0	     0.0	     0.0	     2.2	     0.0	     1.5	     1.4	     1.8	     0.0	     3.6	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     2.2	     0.0	     7.4	     0.3	     0.0	     0.0	     3.3	     0.0	     0.0	     1.7	     0.0	     0.1	     3.6	     0.0	     9.3	     0.0	     0.0	     1.6	     0.0	     0.0	     0.0	     0.0	     6.6	     0.0	     0.3	     0.0	     2.9	     2.2	     0.0	     0.0	     0.0	     0.1	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.3	     2.3	     0.0	     0.0	     3.1	     0.0	     0.0	     1.6	     0.0	     0.7	     9.2	     0.0	     0.0	     3.1			           9.411
   300.0	   360.0	     0.0	     0.0	     0.0	     0.3	     0.0	     0.0	     0.1	     0.0	     0.0	     0.0	     2.6	     4.5	     0.0	     2.7	     0.0	     0.0	     8.5	     0.3	     0.0	     0.0	     4.9	     6.2	     0.0	     0.0	     4.5	     0.0	     8.7	     0.8	     0.0	     0.4	     0.0	     0.7	     0.0	     2.3	     0.0	     1.9	     0.0	     4.3	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     9.3	     0.0	     7.9	     0.5	     0.0	     0.0	     0.0	     0.0	     0.0	     1.8	     0.0	     0.3	     4.6	     0.0	     8.7	     0.0	     0.0	     1.8	     0.0	     0.0	     0.0	     0.2	     7.9	     0.0	     2.4	     0.0	     3.4	     2.7	     0.0	     0.0	     0.0	     0.1	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.5	     0.0	     0.0	     9.5	     0.0	     0.0	     0.5	     0.0	     0.1	     4.9	     0.0	     0.0	     8.4			           9.428
   360.0	   420.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     2.4	     2.8	     0.0	     2.4	     0.0	     0.0	     8.4	     0.1	     0.0	     0.0	     4.8	     9.4	     0.0	     0.3	     2.1	     0.0	    10.3	     1.4	     0.0	     0.1	     0.0	     4.7	     0.0	     1.9	     0.0	     0.6	     0.0	     1.1	     0.0	     0.1	     0.0	     0.0	     0.2	     0.0	     7.7	     0.0	     8.4	     1.5	     0.0	     0.0	     0.0	     0.0	     0.0	     0.4	     0.0	     1.3	     4.8	     0.0	     0.7	     0.0	     0.0	     5.3	     0.1	     0.0	     0.0	     1.6	     8.8	     0.0	     4.3	     0.0	     3.9	     4.0	     0.0	     0.0	     0.0	     0.1	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     6.9	     0.2	     0.0	     4.0	     4.7	     0.0	     0.0	     0.1	     0.0	     3.8	     1.7	     0.0	     0.0	     5.2			           9.444
   420.0	   480.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     1.7	     4.2	     0.0	     2.3	     0.0	     0.0	     7.2	     2.2	     0.0	     0.0	     5.2	     7.6	     0.0	     0.4	     4.0	     0.0	     5.1	     3.7	     0.0	     0.1	     0.0	     4.0	     0.0	     0.4	     0.0	     0.1	     0.0	     0.8	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     5.5	     0.0	     8.7	     0.1	     0.0	     0.0	     0.0	     0.0	     0.0	     2.4	     0.0	     0.1	     3.5	     0.0	     1.3	     0.9	     0.0	     1.0	     0.0	     0.0	     0.0	     2.1	     8.3	     0.0	     3.5	     0.0	     5.4	     3.1	     0.0	     0.0	     0.0	     0.1	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     5.0	     0.3	     0.0	     3.7	    10.3	     0.0	     0.0	     0.0	     0.0	     3.3	     0.0	     2.3	     0.0	     8.2			           9.461
   480.0	   540.0	     0.0	     0.0	     0.0	     0.0	     0.1	     0.0	     0.0	     0.0	     1.4	     0.0	     0.9	     1.4	     0.0	     3.2	     0.0	     0.0	     7.1	     1.0	     0.0	     0.0	     2.2	     6.7	     0.0	     0.1	     3.3	     0.0	     9.2	     2.7	     0.0	     0.0	     0.0	     5.5	     0.0	     0.7	     0.0	     0.1	     0.0	     0.0	     0.0	     0.9	     0.0	     0.0	     0.0	     0.0	     6.3	     0.0	     6.3	     0.6	     0.0	     0.0	     0.0	     0.0	     0.0	     3.6	     0.0	     0.1	     3.1	     0.0	     2.6	     0.0	     0.0	     2.2	     0.0	     0.0	     0.0	     0.2	     7.9	     0.0	     1.8	     0.2	     1.9	     3.7	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     0.0	     2.4	     0.0	     0.2	    11.9	     0.0	     0.0	     0.2	     0.0	     3.8	     0.0	     3.3	     0.0	     6.0			           9.477
